"MARKET_TYPE"	"PROJECT_SCOPE"	"PROJECT_TYPE"	"REGION"	"COUNTRY"	"ISO3"	"COUNT"	"TOTAL_CREDITS_ISSUED"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Europe"	"Albania"	"ALB"	"1"	"0"
"VCS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Angola"	"AGO"	"3"	"144.591"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"2.040"
"VCS"	"Renewable Energy"	"Biomass"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"218.569"
"VCS"	"Renewable Energy"	"Hydropower"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"274.490"
"VCS"	"Waste Management"	"Landfill Methane"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"0"
"VCS"	"Waste Management"	"Methane Recovery in Wastewater"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"22.814"
"GS"	"Renewable Energy"	"Solar - Centralized"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"24.982"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"370.561"
"VCS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"4"	"1050.048"
"GS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Aruba"	"ABW"	"1"	
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Oceania"	"Australia"	"AUS"	"1"	"175.837"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Oceania"	"Australia"	"AUS"	"1"	"0"
"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"Oceania"	"Australia"	"AUS"	"3"	"637.318"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Western Asia"	"Bahrain"	"BHR"	"1"	"0"
"GS"	"Household & Community"	"Clean Water"	"Southern Asia"	"Bangladesh"	"BGD"	"5"	"425.970"
"GS"	"Household & Community"	"Cookstoves"	"Southern Asia"	"Bangladesh"	"BGD"	"108"	"4372.723"
"VCS"	"Household & Community"	"Cookstoves"	"Southern Asia"	"Bangladesh"	"BGD"	"1"	"0"
"VCS"	"Industrial & Commercial"	"Leak Detection & Repair in Gas Systems"	"Southern Asia"	"Bangladesh"	"BGD"	"6"	"545.662"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Southern Asia"	"Bangladesh"	"BGD"	"4"	"163.767"
"VCS"	"Renewable Energy"	"Solar - Distributed"	"Southern Asia"	"Bangladesh"	"BGD"	"1"	"0"
"VCS"	"Forestry & Land Use"	"REDD+"	"Latin America and the Caribbean"	"Belize"	"BLZ"	"4"	"438.066"
"GS"	"Household & Community"	"Clean Water"	"Sub-Saharan Africa"	"Benin"	"BEN"	"1"	"500.903"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Benin"	"BEN"	"3"	"72.700"
"VCS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Benin"	"BEN"	"1"	"0"
"VCS"	"Forestry & Land Use"	"REDD+"	"Sub-Saharan Africa"	"Benin"	"BEN"	"1"	"290.700"
"GS"	"Renewable Energy"	"Solar - Centralized"	"Sub-Saharan Africa"	"Benin"	"BEN"	"1"	"0"
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Latin America and the Caribbean"	"Bolivia"	"BOL"	"1"	"133.691"
"GS"	"Household & Community"	"Cookstoves"	"Latin America and the Caribbean"	"Bolivia"	"BOL"	"3"	"47.968"
"VCS"	"Forestry & Land Use"	"REDD+"	"Latin America and the Caribbean"	"Bolivia"	"BOL"	"1"	"55.400"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"8"	"710.510"
"VCS"	"Transportation"	"Bicycles"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"1"	"5.068"
"GS"	"Renewable Energy"	"Biomass"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"4"	"1226.455"
"VCS"	"Renewable Energy"	"Biomass"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"41"	"7689.381"
"GS"	"Household & Community"	"Cookstoves"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"4"	"118.487"
"VCS"	"Transportation"	"Fleet Efficiency"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"1"	"43.429"
"VCS"	"Renewable Energy"	"Hydropower"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"11"	"580.842"
"GS"	"Waste Management"	"Landfill Methane"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"6"	"1081.713"
"VCS"	"Waste Management"	"Landfill Methane"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"7"	"1011.430"
"VCS"	"Agriculture"	"Manure Methane Digester"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"1"	"150.529"
"VCS"	"Waste Management"	"Methane Recovery in Wastewater"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"1"	"58.689"
"VCS"	"Renewable Energy"	"RE Bundled"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"3"	"414.973"
"VCS"	"Forestry & Land Use"	"REDD+"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"18"	"2640.171"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"1"	"0"
"VCS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Brazil"	"BRA"	"2"	"0"
"GS"	"Renewable Energy"	"Biomass"	"Eastern Europe"	"Bulgaria"	"BGR"	"1"	"531.363"
"VCS"	"Renewable Energy"	"Hydropower"	"Eastern Europe"	"Bulgaria"	"BGR"	"1"	"49.727"
"GS"	"Waste Management"	"Methane Recovery in Wastewater"	"Eastern Europe"	"Bulgaria"	"BGR"	"1"	"627.568"
"GS"	"Household & Community"	"Clean Water"	"Sub-Saharan Africa"	"Burkina Faso"	"BFA"	"4"	"837.763"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Burkina Faso"	"BFA"	"29"	"1746.761"
"VCS"	"Renewable Energy"	"Solar - Distributed"	"Sub-Saharan Africa"	"Burkina Faso"	"BFA"	"1"	"85.009"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Burundi"	"BDI"	"3"	"992.039"
"VCS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Burundi"	"BDI"	"4"	"838.934"
"GS"	"Household & Community"	"Biodigesters"	"South-Eastern Asia"	"Cambodia"	"KHM"	"1"	
"GS"	"Household & Community"	"Clean Water"	"South-Eastern Asia"	"Cambodia"	"KHM"	"2"	"73.234"
"VCS"	"Household & Community"	"Clean Water"	"South-Eastern Asia"	"Cambodia"	"KHM"	"1"	"0"
"VCS"	"Household & Community"	"Cookstoves"	"South-Eastern Asia"	"Cambodia"	"KHM"	"3"	"146.182"
"VCS"	"Forestry & Land Use"	"REDD+"	"South-Eastern Asia"	"Cambodia"	"KHM"	"4"	"1242.620"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"South-Eastern Asia"	"Cambodia"	"KHM"	"1"	"6.550"
"GS"	"Waste Management"	"Composting"	"Sub-Saharan Africa"	"Cameroon"	"CMR"	"1"	"15.081"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Cameroon"	"CMR"	"3"	"105.332"
"VCS"	"Renewable Energy"	"Hydropower"	"Sub-Saharan Africa"	"Cameroon"	"CMR"	"1"	"0"
"VCS"	"Industrial & Commercial"	"Energy Efficiency"	"North America"	"Canada"	"CAN"	"1"	
"ACR"	"Chemical Processes"	"HFC Refrigerant Reclamation"	"North America"	"Canada"	"CAN"	"1"	"55.015"
"ACR"	"Forestry & Land Use"	"Improved Forest Management"	"North America"	"Canada"	"CAN"	"1"	"188.676"
"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"North America"	"Canada"	"CAN"	"3"	"111.796"
"VCS"	"Waste Management"	"Landfill Methane"	"North America"	"Canada"	"CAN"	"1"	"8.596"
"VCS"	"Forestry & Land Use"	"REDD+"	"Sub-Saharan Africa"	"Central African Republic"	"CAF"	"1"	"496.335"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Chad"	"TCD"	"1"	"80.773"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Latin America and the Caribbean"	"Chile"	"CHL"	"2"	"0"
"VCS"	"Renewable Energy"	"Biomass"	"Latin America and the Caribbean"	"Chile"	"CHL"	"1"	"20.596"
"VCS"	"Renewable Energy"	"Hydropower"	"Latin America and the Caribbean"	"Chile"	"CHL"	"10"	"962.897"
"GS"	"Waste Management"	"Landfill Methane"	"Latin America and the Caribbean"	"Chile"	"CHL"	"1"	
"VCS"	"Waste Management"	"Landfill Methane"	"Latin America and the Caribbean"	"Chile"	"CHL"	"1"	"11.824"
"VCS"	"Forestry & Land Use"	"REDD+"	"Latin America and the Caribbean"	"Chile"	"CHL"	"1"	"533.654"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Latin America and the Caribbean"	"Chile"	"CHL"	"2"	"331.779"
"VCS"	"Industrial & Commercial"	"Waste Gas Recovery"	"Latin America and the Caribbean"	"Chile"	"CHL"	"1"	"0"
"GS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Chile"	"CHL"	"2"	"430.357"
"VCS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Chile"	"CHL"	"2"	"348.642"
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Eastern Asia"	"China"	"CHN"	"2"	"102.201"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Eastern Asia"	"China"	"CHN"	"18"	"3158.770"
"GS"	"Household & Community"	"Biodigesters"	"Eastern Asia"	"China"	"CHN"	"98"	"9160.263"
"VCS"	"Household & Community"	"Biodigesters"	"Eastern Asia"	"China"	"CHN"	"2"	"49.092"
"GS"	"Renewable Energy"	"Biomass"	"Eastern Asia"	"China"	"CHN"	"4"	"2082.298"
"VCS"	"Renewable Energy"	"Biomass"	"Eastern Asia"	"China"	"CHN"	"12"	"2978.807"
"VCS"	"Household & Community"	"Bundled Energy Efficiency"	"Eastern Asia"	"China"	"CHN"	"1"	"0"
"VCS"	"Waste Management"	"Composting"	"Eastern Asia"	"China"	"CHN"	"16"	"1133.831"
"GS"	"Household & Community"	"Cookstoves"	"Eastern Asia"	"China"	"CHN"	"21"	"3705.226"
"VCS"	"Household & Community"	"Cookstoves"	"Eastern Asia"	"China"	"CHN"	"2"	"1516.382"
"VCS"	"Transportation"	"Electric Vehicles & Charging"	"Eastern Asia"	"China"	"CHN"	"2"	"25.105"
"GS"	"Renewable Energy"	"Geothermal"	"Eastern Asia"	"China"	"CHN"	"4"	"421.414"
"VCS"	"Renewable Energy"	"Geothermal"	"Eastern Asia"	"China"	"CHN"	"6"	"1395.097"
"VCS"	"Chemical Processes"	"HFC23 Destruction"	"Eastern Asia"	"China"	"CHN"	"1"	
"GS"	"Renewable Energy"	"Hydropower"	"Eastern Asia"	"China"	"CHN"	"11"	"468.113"
"VCS"	"Renewable Energy"	"Hydropower"	"Eastern Asia"	"China"	"CHN"	"70"	"12891.867"
"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"Eastern Asia"	"China"	"CHN"	"8"	"5037.471"
"GS"	"Waste Management"	"Landfill Methane"	"Eastern Asia"	"China"	"CHN"	"4"	"296.595"
"VCS"	"Waste Management"	"Landfill Methane"	"Eastern Asia"	"China"	"CHN"	"52"	"8119.156"
"GS"	"Agriculture"	"Manure Methane Digester"	"Eastern Asia"	"China"	"CHN"	"14"	"4921.539"
"VCS"	"Agriculture"	"Manure Methane Digester"	"Eastern Asia"	"China"	"CHN"	"58"	"4795.197"
"GS"	"Waste Management"	"Methane Recovery in Wastewater"	"Eastern Asia"	"China"	"CHN"	"3"	"74.410"
"VCS"	"Waste Management"	"Methane Recovery in Wastewater"	"Eastern Asia"	"China"	"CHN"	"7"	"575.063"
"VCS"	"Industrial & Commercial"	"Mine Methane Capture"	"Eastern Asia"	"China"	"CHN"	"19"	"2779.299"
"VCS"	"Industrial & Commercial"	"Natural Gas Electricity Generation"	"Eastern Asia"	"China"	"CHN"	"8"	"1880.820"
"GS"	"Renewable Energy"	"Solar - Centralized"	"Eastern Asia"	"China"	"CHN"	"13"	"993.168"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Eastern Asia"	"China"	"CHN"	"10"	"3712.407"
"GS"	"Renewable Energy"	"Solar - centralized"	"Eastern Asia"	"China"	"CHN"	"3"	"140.971"
"VCS"	"Forestry & Land Use"	"Sustainable Grassland Management"	"Eastern Asia"	"China"	"CHN"	"5"	"678.291"
"GS"	"Industrial & Commercial"	"Waste Gas Recovery"	"Eastern Asia"	"China"	"CHN"	"1"	
"VCS"	"Industrial & Commercial"	"Waste Gas Recovery"	"Eastern Asia"	"China"	"CHN"	"2"	"0"
"GS"	"Industrial & Commercial"	"Waste Heat Recovery"	"Eastern Asia"	"China"	"CHN"	"5"	"1732.502"
"VCS"	"Industrial & Commercial"	"Waste Heat Recovery"	"Eastern Asia"	"China"	"CHN"	"6"	"909.858"
"VCS"	"Waste Management"	"Waste Incineration"	"Eastern Asia"	"China"	"CHN"	"6"	"1052.789"
"VCS"	"Waste Management"	"Waste Recycling"	"Eastern Asia"	"China"	"CHN"	"11"	"203.972"
"VCS"	"Forestry & Land Use"	"Wetland Restoration"	"Eastern Asia"	"China"	"CHN"	"1"	"5.880"
"GS"	"Renewable Energy"	"Wind"	"Eastern Asia"	"China"	"CHN"	"26"	"6270.845"
"VCS"	"Renewable Energy"	"Wind"	"Eastern Asia"	"China"	"CHN"	"125"	"34826.581"
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Latin America and the Caribbean"	"Colombia"	"COL"	"2"	"0"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Latin America and the Caribbean"	"Colombia"	"COL"	"9"	"1654.065"
"GS"	"Renewable Energy"	"Biomass"	"Latin America and the Caribbean"	"Colombia"	"COL"	"1"	"127.420"
"GS"	"Renewable Energy"	"Hydropower"	"Latin America and the Caribbean"	"Colombia"	"COL"	"1"	"224.498"
"VCS"	"Renewable Energy"	"Hydropower"	"Latin America and the Caribbean"	"Colombia"	"COL"	"11"	"1312.805"
"VCS"	"Waste Management"	"Landfill Methane"	"Latin America and the Caribbean"	"Colombia"	"COL"	"2"	"19.722"
"VCS"	"Forestry & Land Use"	"REDD+"	"Latin America and the Caribbean"	"Colombia"	"COL"	"13"	"1953.389"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Latin America and the Caribbean"	"Colombia"	"COL"	"1"	"0"
"VCS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Colombia"	"COL"	"1"	"0"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Sub-Saharan Africa"	"Comoros"	"COM"	"1"	"10.380"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Sub-Saharan Africa"	"Congo"	"COG"	"2"	"5.770"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Congo"	"COG"	"1"	"13.559"
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Latin America and the Caribbean"	"Costa Rica"	"CRI"	"1"	"48.801"
"GS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Costa Rica"	"CRI"	"1"	"33.380"
"VCS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Costa Rica"	"CRI"	"1"	"362.644"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Côte d'Ivoire"	"CIV"	"1"	"62.971"
"VCS"	"Renewable Energy"	"Hydropower"	"Sub-Saharan Africa"	"Côte d'Ivoire"	"CIV"	"1"	
"VCS"	"Chemical Processes"	"Ozone Depleting Substances Recovery & Destruction"	"Latin America and the Caribbean"	"Dominican Republic"	"DOM"	"1"	"23.657"
"GS"	"Renewable Energy"	"Solar - Centralized"	"Latin America and the Caribbean"	"Dominican Republic"	"DOM"	"1"	"199.316"
"VCS"	"Industrial & Commercial"	"Waste Heat Recovery"	"Latin America and the Caribbean"	"Dominican Republic"	"DOM"	"1"	
"VCS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Dominican Republic"	"DOM"	"1"	"798.761"
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Sub-Saharan Africa"	"DRC"	"COD"	"1"	"663.322"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"DRC"	"COD"	"6"	"435.736"
"VCS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"DRC"	"COD"	"2"	"612.048"
"VCS"	"Renewable Energy"	"Hydropower"	"Sub-Saharan Africa"	"DRC"	"COD"	"3"	"162.403"
"VCS"	"Forestry & Land Use"	"REDD+"	"Sub-Saharan Africa"	"DRC"	"COD"	"1"	
"VCS"	"Waste Management"	"Landfill Methane"	"Latin America and the Caribbean"	"Ecuador"	"ECU"	"1"	"92.693"
"VCS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Ecuador"	"ECU"	"1"	"970.000"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Northern Africa"	"Egypt"	"EGY"	"4"	"566.094"
"GS"	"Renewable Energy"	"Wind"	"Northern Africa"	"Egypt"	"EGY"	"2"	"983.667"
"VCS"	"Waste Management"	"Landfill Methane"	"Latin America and the Caribbean"	"El Salvador"	"SLV"	"1"	"250.399"
"VCS"	"Household & Community"	"Lighting"	"Latin America and the Caribbean"	"El Salvador"	"SLV"	"1"	"0"
"VCS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"El Salvador"	"SLV"	"1"	"178.907"
"GS"	"Household & Community"	"Clean Water"	"Sub-Saharan Africa"	"Eritrea"	"ERI"	"2"	"37.076"
"GS"	"Household & Community"	"Community Boreholes"	"Sub-Saharan Africa"	"Eritrea"	"ERI"	"33"	"1852.598"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Eritrea"	"ERI"	"3"	"158.500"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Europe"	"Estonia"	"EST"	"1"	"0"
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Sub-Saharan Africa"	"Ethiopia"	"ETH"	"2"	"356.646"
"GS"	"Household & Community"	"Clean Water"	"Sub-Saharan Africa"	"Ethiopia"	"ETH"	"14"	"263.556"
"GS"	"Household & Community"	"Community Boreholes"	"Sub-Saharan Africa"	"Ethiopia"	"ETH"	"7"	"214.416"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Ethiopia"	"ETH"	"16"	"716.436"
"GS"	"Renewable Energy"	"Solar Lighting"	"Sub-Saharan Africa"	"Ethiopia"	"ETH"	"1"	"51.159"
"GS"	"Household & Community"	"Clean Water"	"Sub-Saharan Africa"	"Gambia"	"GMB"	"6"	"117.828"
"VCS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Gambia"	"GMB"	"2"	"0"
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Western Asia"	"Georgia"	"GEO"	"1"	"0"
"VCS"	"Renewable Energy"	"Hydropower"	"Western Asia"	"Georgia"	"GEO"	"1"	"442.368"
"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"Europe"	"Germany"	"DEU"	"1"	"10.894"
"VCS"	"Industrial & Commercial"	"Mine Methane Capture"	"Europe"	"Germany"	"DEU"	"39"	"8965.038"
"GS"	"Waste Management"	"Waste Recycling"	"Europe"	"Germany"	"DEU"	"1"	"728.000"
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Sub-Saharan Africa"	"Ghana"	"GHA"	"1"	"18.752"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Sub-Saharan Africa"	"Ghana"	"GHA"	"5"	"399.740"
"GS"	"Household & Community"	"Clean Water"	"Sub-Saharan Africa"	"Ghana"	"GHA"	"2"	"110.277"
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Ghana"	"GHA"	"5"	"521.906"
"VCS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Ghana"	"GHA"	"3"	"534.078"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Latin America and the Caribbean"	"Guatemala"	"GTM"	"2"	"673.127"
"GS"	"Household & Community"	"Bundled Energy Efficiency"	"Latin America and the Caribbean"	"Guatemala"	"GTM"	"1"	
"GS"	"Household & Community"	"Cookstoves"	"Latin America and the Caribbean"	"Guatemala"	"GTM"	"4"	"164.320"
"VCS"	"Household & Community"	"Cookstoves"	"Latin America and the Caribbean"	"Guatemala"	"GTM"	"1"	"975.000"
"VCS"	"Renewable Energy"	"Geothermal"	"Latin America and the Caribbean"	"Guatemala"	"GTM"	"1"	"104.344"
"VCS"	"Forestry & Land Use"	"REDD+"	"Latin America and the Caribbean"	"Guatemala"	"GTM"	"2"	
"GS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Guinea"	"GIN"	"1"	"11.779"
"VCS"	"Forestry & Land Use"	"REDD+"	"Sub-Saharan Africa"	"Guinea-Bissau"	"GNB"	"1"	"302.043"
"GS"	"Household & Community"	"Clean Water"	"Latin America and the Caribbean"	"Haiti"	"HTI"	"1"	"32.956"
"GS"	"Household & Community"	"Cookstoves"	"Latin America and the Caribbean"	"Haiti"	"HTI"	"1"	"124.931"
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Latin America and the Caribbean"	"Honduras"	"HND"	"1"	"18.655"
"GS"	"Household & Community"	"Clean Water"	"Latin America and the Caribbean"	"Honduras"	"HND"	"3"	"158.733"
"GS"	"Household & Community"	"Cookstoves"	"Latin America and the Caribbean"	"Honduras"	"HND"	"14"	"1094.587"
"GS"	"Renewable Energy"	"Hydropower"	"Latin America and the Caribbean"	"Honduras"	"HND"	"4"	"357.630"
"VCS"	"Renewable Energy"	"Hydropower"	"Latin America and the Caribbean"	"Honduras"	"HND"	"2"	"118.866"
"GS"	"Agriculture"	"Manure Methane Digester"	"Latin America and the Caribbean"	"Honduras"	"HND"	"1"	"65.894"
"GS"	"Waste Management"	"Methane Recovery in Wastewater"	"Latin America and the Caribbean"	"Honduras"	"HND"	"1"	"255.282"
"VCS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Honduras"	"HND"	"1"	"206.105"
"VCS"	"Transportation"	"Electric Vehicles & Charging"	"Europe"	"Iceland"	"ISL"	"1"	"12.514"
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Southern Asia"	"India"	"IND"	"1"	"91.092"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Southern Asia"	"India"	"IND"	"9"	"1054.227"
"VCS"	"Waste Management"	"Biochar"	"Southern Asia"	"India"	"IND"	"1"	"0"
"GS"	"Household & Community"	"Biodigesters"	"Southern Asia"	"India"	"IND"	"40"	"6053.953"
